"GSM678364_B2.CEL" "GSM678365_B4.CEL" "GSM678366_B5.CEL" "GSM678367_B8.CEL" "GSM678368_B9.CEL" "GSM678369_B12.CEL" "GSM678370_B14.CEL" "GSM678371_B17.CEL" "GSM678372_B20.CEL" "GSM678373_B23.CEL" "GSM678374_B24.CEL" "GSM678375_B26.CEL" "GSM678376_B27.CEL" "GSM678377_B30.CEL" "GSM678378_B31.CEL" "GSM678379_B32.CEL" "GSM678380_B33.CEL" "GSM678381_B34.CEL" "GSM678382_B99.CEL"
2.20807804732227 2.26504433487812 2.49797046311508 3.20435107351201 2.88418010535481 3.45568024360567 1.8508934262799 2.52336461662291 2.38114945912453 1.87431435638491 2.80933863476769 2.78251574628528 1.04860790282932 2.22481547098392 3.46185716409577 3.17143775491914 2.70859328224915 2.4062065863679 2.66291574186873
-0.369801638302253 -0.382320520323394 -0.392763140593905 -0.36631743406876 -0.344798128687832 -0.356197144643121 -0.369305739567808 -0.367015787575054 -0.371290490367725 -0.352398884509065 -0.381296588702274 -0.35019155872163 -0.342056327565803 -0.378060730580054 -0.313624018493726 -0.308404246160861 -0.353207240770242 -0.362188011473027 -0.325655695483108
2.05953206543763 2.32428154685374 2.52270708897766 3.39362065260146 3.14452072015844 3.51542976788499 1.78743148198008 2.49870914073408 2.30784295466502 1.7243130081658 2.85495171873438 2.84034206700445 1.20047541920301 2.2183850878343 3.53725810171136 2.93138641355833 2.78213755042047 2.46133720729793 3.02461122536307
-0.376737637456399 -0.400091683916082 -0.388736248011624 -0.372191317557743 -0.338761244866299 -0.366866702550143 -0.39013675945248 -0.371441129401254 -0.383821516771059 -0.345825120244482 -0.373314299008103 -0.382466714471862 -0.352529949384678 -0.370201373397182 -0.342833390723188 -0.312014040767791 -0.352513426919569 -0.382425834346077 -0.333572992932868
-0.378471637244936 -0.402784284460428 -0.401392196127365 -0.368928048952752 -0.341025076299374 -0.381092779759506 -0.392558971066977 -0.364487020817225 -0.386327722051726 -0.359570263706791 -0.393840186793114 -0.38986310433129 -0.351948081505852 -0.394493931962423 -0.315661881672526 -0.337282603016297 -0.361533006978316 -0.382425834346077 -0.33732329172486
-0.355929639993959 -0.371011598037139 -0.388160977642726 -0.36631743406876 -0.346307349643215 -0.370423221852484 -0.382385682286091 -0.371441129401254 -0.366904631126558 -0.367339257837661 -0.379015934503939 -0.376415122768694 -0.351948081505852 -0.368057912347308 -0.344191966175721 -0.319835262416138 -0.339330963756785 -0.369864427045563 -0.336489891993307
2.32599003294276 2.32482006696261 2.49049194831941 3.17367634862509 2.9845432988878 3.24513430090709 1.7758048662305 2.43991531361457 2.4550825149042 1.8073814838728 2.79280389182976 2.59558880256519 1.24004243496321 2.06191243119348 3.25535369531074 2.98252517048983 2.61076552930427 2.38527090753371 1.82368221219408
-0.36402163900713 -0.389859801847565 -0.369177055469115 -0.349348437322808 -0.334233582000149 -0.367578006410611 -0.378025701379996 -0.36132606236994 -0.350614296802224 -0.344032275445051 -0.370463481260185 -0.371708329221785 -0.34903874211172 -0.381633165663178 -0.304793278052261 -0.314420570505744 -0.353207240770242 -0.362188011473027 -0.3294059942751
2.30691603526886 2.64739361217533 2.71887428477165 3.1371277402492 2.86984250627867 3.54388192230372 2.13768328143631 2.6295728204517 2.66685686112054 2.08108912325268 3.11380597024534 2.66148391222191 1.35350667133436 2.15408125633807 3.42517562687738 2.68953017489406 2.76548601800432 2.1033370992333 1.86410209917444
-0.377315637385912 -0.374242718690355 -0.374929759158088 -0.361096204300775 -0.341779686777065 -0.372557133433888 -0.373665720473902 -0.358165103922654 -0.381941862810559 -0.363753568238798 -0.363051355115598 -0.35086395779976 -0.352529949384678 -0.386634574779551 -0.321775471208925 -0.327054851629997 -0.353901054620915 -0.372655850890122 -0.326489095214661
