source,target
secretary,paralegal specialist
contract administrator,paralegal specialist
legal secretary,paralegal specialist
management analyst,paralegal specialist
supervisory paralegal specialist,paralegal specialist
intern,paralegal specialist
case manager,paralegal specialist
administrative assistant ii,paralegal specialist
legal assistant,legal secretary
administrative assistant,legal secretary
paralegal,legal secretary
executive assistant,legal secretary
office manager,legal secretary
receptionist,legal secretary
executive secretary,legal secretary
legal administrative assistant,legal secretary
senior legal secretary,legal secretary
executive legal secretary,legal secretary
litigation secretary,legal secretary
sales associate,legal secretary
intern,legal secretary
floater legal secretary,legal secretary
secretary,legal secretary
legal secretary,legal administrative assistant
legal assistant,legal administrative assistant
executive assistant,legal administrative assistant
paralegal,legal administrative assistant
office manager,legal administrative assistant
secretary,legal administrative assistant
executive administrative assistant,legal administrative assistant
attorney,legal administrative assistant
customer service representative,legal administrative assistant
receptionist,legal administrative assistant
floating legal administrative assistant,legal administrative assistant
legal intern,legal administrative assistant
executive secretary,legal administrative assistant
senior administrative assistant,legal administrative assistant
legal executive assistant,legal administrative assistant
administrative assistant,executive assistant
office manager,executive assistant
senior administrative assistant,executive assistant
executive administrative assistant,executive assistant
receptionist,executive assistant
legal assistant,executive assistant
legal secretary,executive assistant
senior executive assistant,executive assistant
executive assistant to ceo,executive assistant
executive secretary,executive assistant
secretary,executive assistant
executive,executive assistant
project coordinator,executive assistant
manager,executive assistant
office administrator,executive assistant
administrative assistant,secretary
cashier,secretary
receptionist,secretary
sales associate,secretary
office manager,secretary
intern,secretary
legal secretary,secretary
executive assistant,secretary
customer service representative,secretary
office assistant,secretary
volunteer,secretary
executive secretary,secretary
legal assistant,secretary
vice president,secretary
president,secretary
legal assistant,paralegal
legal secretary,paralegal
administrative assistant,paralegal
litigation paralegal,paralegal
senior paralegal,paralegal
office manager,paralegal
intern,paralegal
law clerk,paralegal
attorney,paralegal
executive assistant,paralegal
legal intern,paralegal
manager,paralegal
corporate paralegal,paralegal
paralegal intern,paralegal
paralegal specialist,paralegal
network administrator,systems administrator
systems engineer,systems administrator
senior systems administrator,systems administrator
system administrator,systems administrator
consultant,systems administrator
network engineer,systems administrator
it manager,systems administrator
senior systems engineer,systems administrator
contractor,systems administrator
systems analyst,systems administrator
manager,systems administrator
programmer,systems administrator
computer technician,systems administrator
it consultant,systems administrator
technical support engineer,systems administrator
senior contracts manager,contracts manager
senior contracts administrator,contracts manager
contracts administrator,contracts manager
project manager,contracts manager
director,contracts manager
contract administrator,contracts manager
contracts specialist,contracts manager
attorney,contracts manager
consultant,contracts manager
legal assistant,contracts manager
senior manager,contracts manager
associate,contracts manager
program manager,contracts manager
contract manager,contracts manager
senior,contracts manager
legal assistant,corporate paralegal
litigation paralegal,corporate paralegal
senior paralegal,corporate paralegal
quality assurance technician,corporate paralegal
senior corporate paralegal,corporate paralegal
senior accountant,corporate paralegal
legal secretary,corporate paralegal
paralegal,corporate paralegal
administrative assistant,corporate paralegal
legal intern,corporate paralegal
securities paralegal,corporate paralegal
consultant,corporate paralegal
independent contractor,corporate paralegal
intern,corporate paralegal
executive assistant,corporate paralegal
senior software engineer,senior software developer
software engineer,senior software developer
consultant,senior software developer
programmer,senior software developer
senior programmer,senior software developer
senior programmer analyst,senior software developer
programmer analyst,senior software developer
senior developer,senior software developer
web developer,senior software developer
software programmer,senior software developer
senior consultant,senior software developer
