source,target
customer service representative,administrative secretary
cashier,administrative secretary
secretary,administrative secretary
executive administrative assistant,administrative secretary
senior administrative assistant,administrative secretary
secretary ii,administrative secretary
substitute teacher,administrative secretary
tax manager,tax consultant
senior tax accountant,tax consultant
senior accountant,tax consultant
accountant,tax consultant
financial analyst,tax consultant
manager,tax consultant
controller,tax consultant
tax accountant,tax consultant
senior tax analyst,tax consultant
tax analyst,tax consultant
staff accountant,tax consultant
intern,tax consultant
document reviewer,tax consultant
contractor,tax consultant
accounting manager,tax consultant
senior accountant,staff accountant
accounting manager,staff accountant
financial analyst,staff accountant
controller,staff accountant
bookkeeper,staff accountant
senior staff accountant,staff accountant
assistant controller,staff accountant
office manager,staff accountant
accounting assistant,staff accountant
junior accountant,staff accountant
senior financial analyst,staff accountant
accounting clerk,staff accountant
consultant,staff accountant
accounting supervisor,staff accountant
tax accountant,staff accountant
senior accountant,senior staff accountant
accounting manager,senior staff accountant
controller,senior staff accountant
assistant controller,senior staff accountant
financial analyst,senior staff accountant
senior financial analyst,senior staff accountant
accounting supervisor,senior staff accountant
consultant,senior staff accountant
bookkeeper,senior staff accountant
project accountant,senior staff accountant
finance manager,senior staff accountant
manager,senior staff accountant
accounting consultant,senior staff accountant
accounting clerk,senior staff accountant
office manager,senior staff accountant
controller,accounting consultant
accounting manager,accounting consultant
staff accountant,accounting consultant
senior accountant,accounting consultant
accountant,accounting consultant
assistant controller,accounting consultant
financial analyst,accounting consultant
accounting supervisor,accounting consultant
bookkeeper,accounting consultant
senior staff accountant,accounting consultant
office manager,accounting consultant
ms sql server,accounting consultant
full charge bookkeeper,accounting consultant
senior cost accountant,accounting consultant
junior accountant,accounting consultant
senior ms sql server,ms sql server
accounting consultant,ms sql server
sql server developer,ms sql server
accountant,ms sql server
accounting manager,ms sql server
accounts payable clerk,ms sql server
sql developer,ms sql server
inventory clerk,ms sql server
inventory controller,ms sql server
accounting internal auditor,ms sql server
assistant divisional accountant,ms sql server
assistant to cost accountant,ms sql server
vb6 programmer,ms sql server
sql server bi developer,ms sql server
sql bi developer,ms sql server
senior accountant,senior financial analyst
manager,senior financial analyst
finance manager,senior financial analyst
staff accountant,senior financial analyst
controller,senior financial analyst
consultant,senior financial analyst
accounting manager,senior financial analyst
accountant,senior financial analyst
director,senior financial analyst
business analyst,senior financial analyst
assistant controller,senior financial analyst
senior business analyst,senior financial analyst
financial consultant,senior financial analyst
project manager,senior financial analyst
senior manager,senior financial analyst
administrative assistant,accounting clerk
accounts payable clerk,accounting clerk
bookkeeper,accounting clerk
staff accountant,accounting clerk
office manager,accounting clerk
accountant,accounting clerk
accounting assistant,accounting clerk
receptionist,accounting clerk
accounts payable specialist,accounting clerk
cashier,accounting clerk
customer service representative,accounting clerk
sales associate,accounting clerk
accounts receivable clerk,accounting clerk
office assistant,accounting clerk
secretary,accounting clerk
sales associate,assistant store manager
assistant manager,assistant store manager
general manager,assistant store manager
department manager,assistant store manager
operations manager,assistant store manager
sales representative,assistant store manager
sales manager,assistant store manager
administrative assistant,assistant store manager
office manager,assistant store manager
owner,assistant store manager
district manager,assistant store manager
customer service representative,assistant store manager
cashier,assistant store manager
supervisor,assistant store manager
intern,assistant store manager
software engineer,software qa engineer
senior software qa engineer,software qa engineer
software test engineer,software qa engineer
senior qa engineer,software qa engineer
qa analyst,software qa engineer
software qa tester,software qa engineer
test engineer,software qa engineer
software quality engineer,software qa engineer
software qa analyst,software qa engineer
project manager,software qa engineer
software qa consultant,software qa engineer
software tester,software qa engineer
quality assurance engineer,software qa engineer
quality assurance analyst,software qa engineer
contractor,software qa engineer
administrative assistant,billing clerk
receptionist,billing clerk
customer service representative,billing clerk
accounting clerk,billing clerk
accounts payable clerk,billing clerk
data entry clerk,billing clerk
office manager,billing clerk
cashier,billing clerk
student practical nurse,billing clerk
assistant manager,billing clerk
medical assistant,billing clerk
office assistant,billing clerk
billing coordinator,billing clerk
billing specialist,billing clerk
dental assistant,billing clerk
research associate,research scientist
research assistant,research scientist
senior research scientist,research scientist
senior scientist,research scientist
postdoctoral fellow,research scientist
research fellow,research scientist
teaching assistant,research scientist
intern,research scientist
graduate research assistant,research scientist
consultant,research scientist
postdoctoral research associate,research scientist
project manager,research scientist
research engineer,research scientist
assistant professor,research scientist
researcher,research scientist
senior net developer,net developer
software engineer,net developer
software developer,net developer
web developer,net developer
programmer,net developer
seniornet developer,net developer
senior software engineer,net developer
role net developer,net developer
application developer,net developer
programmer analyst,net developer
sharepoint developer,net developer
senior programmer analyst,net developer
net,net developer
consultant,net developer
lead developer,net developer
senior sharepoint developer,sharepoint developer
software developer,sharepoint developer
net developer,sharepoint developer
web developer,sharepoint developer
software engineer,sharepoint developer
sharepoint developer business analyst,sharepoint developer
senior software engineer,sharepoint developer
sharepoint architect,sharepoint developer
sharepoint developer admin,sharepoint developer
sharepoint consultant,sharepoint developer
programmer,sharepoint developer
seniornet developer,sharepoint developer
aspnet developer,sharepoint developer
net,sharepoint developer
technical support,sharepoint developer
administrative assistant,contract analyst
contract administrator,contract analyst
financial analyst,contract analyst
staff accountant,contract analyst
contract manager,contract analyst
accountant,contract analyst
oracle consultant,contract analyst
manager,contract analyst
consultant,contract analyst
legal assistant,contract analyst
project manager,contract analyst
laboratory analyst,contract analyst
director,contract analyst
accounting manager,contract analyst
accounts receivable specialist,contract analyst
web developer,senior technology lead
programmer analyst,senior technology lead
front end web developer,senior technology lead
senior ui developer,senior technology lead
senior manager,senior technology lead
assistant instructor,senior technology lead
senior web developer,senior technology lead
web content manager,senior technology lead
head trader,senior technology lead
senior content developer,senior technology lead
senior digital developer,senior technology lead
senior user interface director,senior technology lead
graphic designer,multimedia specialist
graphic artist,multimedia specialist
instructional designer,multimedia specialist
director,multimedia specialist
tap instructor,multimedia specialist
instructor,multimedia specialist
program manager,multimedia specialist
independent consultant,multimedia specialist
assistant manager,multimedia specialist
3d artist,multimedia specialist
art director,multimedia specialist
independent contractor,multimedia specialist
adjunct professor,multimedia specialist
writer,multimedia specialist
creative director,multimedia specialist
senior mechanical engineer,staff mechanical engineer
mechanical design engineer,staff mechanical engineer
project engineer,staff mechanical engineer
manager,staff mechanical engineer
principal mechanical engineer,staff mechanical engineer
senior mechanical design engineer,staff mechanical engineer
staff mechanical design engineer,staff mechanical engineer
staff engineer,staff mechanical engineer
design engineer,staff mechanical engineer
technical manager,staff mechanical engineer
consultant,staff mechanical engineer
project manager,staff mechanical engineer
program manager,staff mechanical engineer
field engineer,staff mechanical engineer
senior engineer,staff mechanical engineer
